date,corr_ETH_BTC,corr_ETH_NASDAQ,corr_ETH_SP500,corr_ETH_GOLD,corr_ETH_USD,corr_ETH_VIX
2020-12-31,0.8726347231160031,0.48471900287802233,0.4736770496079139,0.2135610180381696,-0.07099581069313782,-0.393696940955955
2021-01-04,0.8599469786282492,0.4473846307947952,0.4369801692097821,0.2369292925593248,-0.06925434065898496,-0.3388563961969423
2021-01-05,0.8595327423751082,0.447962848065949,0.4375979283114449,0.2352119262512671,-0.07083723687863702,-0.3402177205665632
2021-01-06,0.8626080690644065,0.4448157591375972,0.4372894092639335,0.22424914532715928,-0.06860573431603664,-0.33997225118475033
2021-01-07,0.860369824161758,0.44473552335696176,0.43760316762184115,0.22353678462954676,-0.06712849922401241,-0.3399191586230269
2021-01-08,0.8593832610698361,0.44498394466307123,0.4379975052746336,0.2207373329622835,-0.06691450059582196,-0.34124256270504505
2021-01-11,0.8602883062753987,0.446637568773234,0.437787367137769,0.21485536753916026,-0.07447044973850069,-0.3468724489542606
2021-01-12,0.8605764046223159,0.4462266611796498,0.43749556545674484,0.21543388393375817,-0.07073605164160617,-0.3453545605275672
2021-01-13,0.8594367906295841,0.4504529938042603,0.44088093990428284,0.22067500936032372,-0.06879514669968306,-0.3496893529659351
2021-01-14,0.859886552375057,0.4491193124351243,0.4392550728087108,0.21975065486503295,-0.06927381414317431,-0.3469590003217515
2021-01-15,0.8595945195466298,0.4504065561386821,0.44027267877619375,0.2214262101276056,-0.07245950802488513,-0.34799053192609686
2021-01-19,0.845847198811982,0.4510360180469222,0.4387868997826695,0.22174477757570582,-0.0785611788454175,-0.34894790358624844
2021-01-20,0.8457713105352018,0.4501785980435296,0.43823225239126573,0.22095755345867085,-0.07866563807842121,-0.3479788742875689
2021-01-21,0.8511646546311672,0.4393787697185844,0.4300059923819619,0.21756595651415836,-0.06757976210560394,-0.33934607618333756
2021-01-22,0.851889837812934,0.43816942163595946,0.42809349611109004,0.21571174508441726,-0.06470369870236695,-0.3368926627023486
2021-01-25,0.8485842688541374,0.43829232845397625,0.4279083935828888,0.21525911764979153,-0.06293185101715543,-0.33459361979655844
2021-01-26,0.8484585168817846,0.44113068043465775,0.43016874097354707,0.21470967328193355,-0.06407940982613143,-0.3446803073820183
2021-01-27,0.8497754420730491,0.4441610450805869,0.4332670930126355,0.2159844826502904,-0.07011640538168248,-0.3499653847685052
2021-01-28,0.848864308427198,0.44411798485188,0.43386680783839787,0.21474403171560422,-0.07120582437431941,-0.3527946617931036
2021-01-29,0.8490467448236066,0.4418735229395124,0.4315957866161545,0.21398599403385057,-0.07012331758681536,-0.3494799602221604
2021-02-01,0.8488691531585889,0.4391080505966092,0.42965833850056023,0.21334417276978226,-0.07313931338187421,-0.3470510312720219
2021-02-02,0.8507911815582545,0.43976742704887356,0.43066992003262183,0.20655432828616144,-0.07290724379669035,-0.35223409467360184
2021-02-03,0.8513643184195893,0.4394212513741739,0.4303745295034594,0.20592966001978233,-0.07307218189184952,-0.35766825388878926
2021-02-04,0.850975351821348,0.4378469644155637,0.42765363456159705,0.20856723744204603,-0.07884921051092714,-0.3541032923724649
2021-02-05,0.851099907358372,0.4375586307597769,0.4274046988112562,0.21062193848812938,-0.08376580977182065,-0.35495574665718915
2021-02-08,0.832047110569005,0.43861838004367926,0.4283854538728867,0.2105853207194458,-0.08498067775700273,-0.355911886173262
2021-02-09,0.8320489131190855,0.4388902393176788,0.4285202772981048,0.2106851292422145,-0.08494276606543197,-0.35600130170243666
2021-02-10,0.8316417435036101,0.43939935946147296,0.42872079218358805,0.2118695086135339,-0.08445820492404194,-0.3566222328056894
2021-02-11,0.833867686324981,0.43960514385468286,0.4292051091922903,0.21192451345959273,-0.08985757801862448,-0.35264088405038746
2021-02-12,0.8333543282423994,0.43972435564416257,0.4293559394994951,0.21161166305838353,-0.08952380517245637,-0.35330092562233384
2021-02-16,0.8316816454079726,0.44027316986687387,0.429463894810325,0.21278519439513305,-0.09046281691797653,-0.3538139818040536
2021-02-17,0.8314634222586325,0.43948496353434247,0.42916329050676044,0.2113251185334416,-0.0876839130849879,-0.35348725344160353
2021-02-18,0.8292756748718867,0.4413623855993786,0.4307019448145943,0.2135895521222906,-0.08761288363544373,-0.35506447205599756
2021-02-19,0.8265569560168428,0.4412012044117741,0.43056973065617654,0.21399574632939394,-0.08718212474086014,-0.354886005459721
